date,type,description,amount,current balance
2025-12-01,interest earned,Savings Interest,7840.100785547443,27840.10078554744
2025-12-01,interest earned,Savings Interest,7837.677313750489,35677.77809929793
2025-12-01,interest earned,Savings Interest,8189.07980751842,43866.85790681635
2025-12-01,interest earned,Savings Interest,8243.681047459693,52110.538954276046
2025-12-01,interest earned,Savings Interest,8097.120392908202,60207.65934718425
2025-12-01,interest earned,Savings Interest,7941.717889158353,68149.3772363426
2025-12-01,interest earned,Savings Interest,8025.707557878383,76175.08479422098
2025-12-01,interest earned,Savings Interest,8080.234466420519,84255.3192606415
2025-12-01,interest earned,Savings Interest,8103.652708975482,92358.97196961698
2025-12-01,interest earned,Savings Interest,8006.145333754895,100365.11730337187
2025-12-05,direct payment,Capital One Credit Card,-475.6244178694985,99889.49288550236
2025-12-05,direct payment,Capital One Credit Card,-394.59574252480644,99494.89714297756
2025-12-05,direct payment,Capital One Credit Card,-608.8413875814833,98886.05575539607
2025-12-05,direct payment,Capital One Credit Card,-508.06821659283577,98377.98753880324
2025-12-05,direct payment,Capital One Credit Card,-615.0260047010188,97762.96153410221
2025-12-05,direct payment,Capital One Credit Card,-370.52203651406234,97392.43949758816
2025-12-05,direct payment,Capital One Credit Card,-612.7603682338433,96779.67912935432
2025-12-05,direct payment,Capital One Credit Card,-443.6205252050456,96336.05860414928
2025-12-05,direct payment,Capital One Credit Card,-291.86107661847706,96044.1975275308
2025-12-05,direct payment,Capital One Credit Card,-729.9472537368189,95314.250273794
2025-12-10,deposit,Freelance Payment,8206.488755957183,103520.73902975117
2025-12-10,deposit,Freelance Payment,8156.151338331088,111676.89036808226
2025-12-10,deposit,Freelance Payment,8318.700146227007,119995.59051430927
2025-12-10,deposit,Freelance Payment,8060.245506037536,128055.8360203468
2025-12-10,deposit,Freelance Payment,8092.765246067073,136148.60126641387
2025-12-10,deposit,Freelance Payment,8116.263758623516,144264.86502503738
2025-12-10,deposit,Freelance Payment,8191.05632909059,152455.92135412796
2025-12-10,deposit,Freelance Payment,8154.227240995587,160610.14859512355
2025-12-10,deposit,Freelance Payment,8318.558856961314,168928.70745208487
2025-12-10,deposit,Freelance Payment,8348.536239138035,177277.24369122292
2025-12-15,withdrawal,ATM Withdrawal,-254.80500704994955,177022.43868417296
2025-12-15,withdrawal,ATM Withdrawal,-372.8420283488448,176649.5966558241
2025-12-15,withdrawal,ATM Withdrawal,-474.59215287855517,176175.00450294555
2025-12-15,withdrawal,ATM Withdrawal,-247.3303863085731,175927.67411663698
2025-12-15,withdrawal,ATM Withdrawal,-478.9484267056957,175448.72568993128
2025-12-15,withdrawal,ATM Withdrawal,-779.2873631593721,174669.4383267719
2025-12-15,withdrawal,ATM Withdrawal,-452.0247123094355,174217.41361446245
2025-12-15,withdrawal,ATM Withdrawal,-330.33605702505326,173887.07755743738
2025-12-15,withdrawal,ATM Withdrawal,-554.0856458592181,173332.99191157817
2025-12-15,withdrawal,ATM Withdrawal,-505.12297523577513,172827.8689363424
2025-12-18,debit card,Coffee Shop,-381.6274169286921,172446.24151941368
2025-12-18,debit card,Coffee Shop,-755.3678649256789,171690.873654488
2025-12-18,debit card,Coffee Shop,-373.10991444302294,171317.763740045
2025-12-18,debit card,Coffee Shop,-463.96612372589186,170853.7976163191
2025-12-18,debit card,Coffee Shop,-364.178117859337,170489.61949845977
2025-12-18,debit card,Coffee Shop,-492.7540521086612,169996.86544635112
2025-12-18,debit card,Coffee Shop,-722.0315966956491,169274.83384965546
2025-12-18,debit card,Coffee Shop,-218.1037538081231,169056.73009584734
2025-12-18,debit card,Coffee Shop,-626.4634365437811,168430.26665930357
2025-12-18,debit card,Coffee Shop,-378.1958303825729,168052.070828921
2025-12-20,deposit,Salary,8504.840297638999,176556.91112655998
2025-12-20,deposit,Salary,8299.462819102348,184856.37394566232
2025-12-20,deposit,Salary,8486.21030174929,193342.5842474116
2025-12-20,deposit,Salary,8484.489881348374,201827.07412875997
2025-12-20,deposit,Salary,8423.601042015624,210250.6751707756
2025-12-20,deposit,Salary,8409.94331253362,218660.6184833092
2025-12-20,deposit,Salary,8621.678359260475,227282.29684256966
2025-12-20,deposit,Salary,8490.614029166716,235772.91087173639
2025-12-20,deposit,Salary,8376.607982136278,244149.51885387267
2025-12-20,deposit,Salary,8368.332768537617,252517.8516224103
2025-12-28,debit card,Groceries,-583.7013417949395,251934.15028061534
2025-12-28,debit card,Groceries,-689.8581949144411,251244.2920857009
2025-12-28,debit card,Groceries,-385.70199330249073,250858.5900923984
2025-12-28,debit card,Groceries,-467.9862244316514,250390.60386796674
2025-12-28,debit card,Groceries,-744.817769900517,249645.78609806622
2025-12-28,debit card,Groceries,-783.3737872265519,248862.41231083966
2025-12-28,debit card,Groceries,-573.6828232479138,248288.72948759174
2025-12-28,debit card,Groceries,-466.1314571093621,247822.5980304824
2025-12-28,debit card,Groceries,-368.2463290659061,247454.35170141648
2025-12-28,debit card,Groceries,-720.1034782279643,246734.2482231885
2026-01-05,direct payment,Capital One Credit Card,-707.9980511066165,246026.2501720819
2026-01-05,direct payment,Capital One Credit Card,-261.75419333099876,245764.4959787509
2026-01-05,direct payment,Capital One Credit Card,-262.10506903425465,245502.39090971663
2026-01-05,direct payment,Capital One Credit Card,-387.9581860642768,245114.43272365237
2026-01-05,direct payment,Capital One Credit Card,-597.6824760997106,244516.75024755267
2026-01-05,direct payment,Capital One Credit Card,-525.5393309231006,243991.21091662956
2026-01-05,direct payment,Capital One Credit Card,-302.70417669746297,243688.50673993208
2026-01-05,direct payment,Capital One Credit Card,-638.4487502870713,243050.05798964502
2026-01-05,direct payment,Capital One Credit Card,-499.20742571078125,242550.85056393425
2026-01-05,direct payment,Capital One Credit Card,-585.9340606198678,241964.91650331437
2026-01-10,deposit,Freelance Payment,8640.507248937638,250605.423752252
2026-01-10,deposit,Freelance Payment,8576.913087930629,259182.33684018263
2026-01-10,deposit,Freelance Payment,8646.808459436608,267829.14529961924
2026-01-10,deposit,Freelance Payment,8560.656757730314,276389.80205734953
2026-01-10,deposit,Freelance Payment,8380.918176008689,284770.7202333582
2026-01-10,deposit,Freelance Payment,8437.469513538119,293208.1897468963
2026-01-10,deposit,Freelance Payment,8608.345531000978,301816.5352778973
2026-01-10,deposit,Freelance Payment,8596.892663024704,310413.42794092203
2026-01-10,deposit,Freelance Payment,8782.54391508236,319195.9718560044
2026-01-10,deposit,Freelance Payment,8796.937408532234,327992.90926453663
2026-01-15,withdrawal,ATM Withdrawal,-337.32339789503186,327655.5858666416
2026-01-15,withdrawal,ATM Withdrawal,-505.31652630961787,327150.26934033196
2026-01-15,withdrawal,ATM Withdrawal,-591.8270987460799,326558.4422415859
2026-01-15,withdrawal,ATM Withdrawal,-754.257287610505,325804.1849539754
2026-01-15,withdrawal,ATM Withdrawal,-286.6562882222437,325517.52866575314
2026-01-15,withdrawal,ATM Withdrawal,-647.0188525577089,324870.50981319544
2026-01-15,withdrawal,ATM Withdrawal,-602.823206154009,324267.68660704145
2026-01-15,withdrawal,ATM Withdrawal,-441.70869563412134,323825.97791140736
2026-01-15,withdrawal,ATM Withdrawal,-677.1803638616568,323148.7975475457
2026-01-15,withdrawal,ATM Withdrawal,-529.3961402294377,322619.40140731627
2026-01-18,debit card,Gas Station,-732.7911771882474,321886.61023012805
2026-01-18,debit card,Gas Station,-221.325603801508,321665.2846263265
2026-01-18,debit card,Gas Station,-531.0050555138307,321134.2795708127
2026-01-18,debit card,Gas Station,-218.9733170125339,320915.30625380017
2026-01-18,debit card,Gas Station,-340.1481346994673,320575.1581191007
2026-01-18,debit card,Gas Station,-725.6881765835858,319849.4699425172
2026-01-18,debit card,Gas Station,-378.4204639410701,319471.0494785761
2026-01-18,debit card,Gas Station,-320.6517679258614,319150.3977106502
2026-01-18,debit card,Gas Station,-300.80589858357746,318849.5918120667
2026-01-18,debit card,Gas Station,-323.23056986360547,318526.36124220304
2026-01-20,deposit,Salary,8675.278630718301,327201.63987292134
2026-01-20,deposit,Salary,8651.052522227812,335852.69239514915
2026-01-20,deposit,Salary,8601.575088649597,344454.2674837987
2026-01-20,deposit,Salary,8666.22468717132,353120.4921709701
2026-01-20,deposit,Salary,8787.728865538787,361908.22103650885
2026-01-20,deposit,Salary,8613.776479939963,370521.99751644884
2026-01-20,deposit,Salary,8592.663100527148,379114.660616976
2026-01-20,deposit,Salary,8789.48014972086,387904.14076669683
2026-01-20,deposit,Salary,8790.030726677407,396694.1714933742
2026-01-20,deposit,Salary,8635.601134883327,405329.7726282575
2026-01-25,debit card,Restaurant,-668.1028379789701,404661.66979027854
2026-01-25,debit card,Restaurant,-708.9878500487789,403952.6819402298
2026-01-25,debit card,Restaurant,-484.6723241564042,403468.0096160734
2026-01-25,debit card,Restaurant,-640.9366151097441,402827.07300096366
2026-01-25,debit card,Restaurant,-781.6851670279715,402045.3878339357
2026-01-25,debit card,Restaurant,-261.6982373020008,401783.68959663366
2026-01-25,debit card,Restaurant,-254.32899549833883,401529.3606011353
2026-01-25,debit card,Restaurant,-607.1559378482976,400922.204663287
2026-01-25,debit card,Restaurant,-597.988341064916,400324.2163222221
2026-01-25,debit card,Restaurant,-774.4441746572367,399549.77214756486
2026-01-28,debit card,Groceries,-689.8697039353601,398859.9024436295
2026-01-28,debit card,Groceries,-228.2361971208511,398631.66624650866
2026-01-28,debit card,Groceries,-708.2298851597386,397923.4363613489
2026-01-28,debit card,Groceries,-265.34059698380634,397658.0957643651
2026-01-28,debit card,Groceries,-704.1955214006996,396953.9002429644
2026-01-28,debit card,Groceries,-600.9011428651783,396352.9991000992
2026-01-28,debit card,Groceries,-618.7426307735859,395734.2564693256
2026-01-28,debit card,Groceries,-209.2205103747018,395525.03595895093
2026-01-28,debit card,Groceries,-711.487530495504,394813.5484284554
2026-01-28,debit card,Groceries,-743.9074073096011,394069.6410211458
2026-02-01,direct payment,Capital One Credit Card,-396.8577172621183,393672.7833038837
2026-02-01,direct payment,Capital One Credit Card,-327.5221138703864,393345.2611900133
2026-02-01,direct payment,Capital One Credit Card,-352.0146566864348,392993.24653332686
2026-02-01,direct payment,Capital One Credit Card,-256.48065575513505,392736.7658775717
2026-02-01,direct payment,Capital One Credit Card,-252.29052327218648,392484.47535429953
2026-02-01,direct payment,Capital One Credit Card,-660.2741404906699,391824.20121380885
2026-02-01,direct payment,Capital One Credit Card,-479.51596041832573,391344.6852533905
2026-02-01,direct payment,Capital One Credit Card,-793.6045714028791,390551.08068198763
2026-02-01,direct payment,Capital One Credit Card,-457.0669548495762,390094.01372713805
2026-02-01,direct payment,Capital One Credit Card,-286.364275692742,389807.6494514453
2026-02-05,interest earned,Savings Interest,8646.529380874215,398454.17883231957
2026-02-05,interest earned,Savings Interest,-671.6836431950317,397782.49518912454
2026-02-05,interest earned,Savings Interest,8944.126517297704,406726.62170642224
2026-02-05,interest earned,Savings Interest,8729.75329656288,415456.3750029851
2026-02-05,interest earned,Savings Interest,8977.171998454416,424433.54700143955
2026-02-05,interest earned,Savings Interest,8954.198430234224,433387.7454316738
2026-02-05,interest earned,Savings Interest,8862.540973305991,442250.28640497976
2026-02-05,interest earned,Savings Interest,8841.627565673154,451091.9139706529
2026-02-05,interest earned,Savings Interest,8776.111580495344,459868.0255511482
2026-02-05,interest earned,Savings Interest,8950.81226958808,468818.8378207363
2026-02-08,deposit,Freelance Payment,8822.241013036517,477641.0788337728
2026-02-08,deposit,Freelance Payment,8962.531443639065,486603.6102774119
2026-02-08,deposit,Freelance Payment,8965.543922406394,495569.15419981827
2026-02-08,deposit,Freelance Payment,9016.478471352119,504585.6326711704
2026-02-08,deposit,Freelance Payment,9080.03870888086,513665.67138005124
2026-02-08,deposit,Freelance Payment,8919.060634427431,522584.73201447865
2026-02-08,deposit,Freelance Payment,8987.540833095427,531572.2728475741
2026-02-08,deposit,Freelance Payment,9258.078616143715,540830.3514637178
2026-02-08,deposit,Freelance Payment,9240.041323446716,550070.3927871644
2026-02-08,deposit,Freelance Payment,9191.474054852179,559261.8668420166
2026-02-10,withdrawal,ATM Withdrawal,-321.8679483465702,558939.99889367
