date,type,description,amount,current balance
2/14/2026,deposit,Salary,3499.406986838009,14913.961820481096
2/12/2026,debit card,Coffee Shop,-11.710054894846005,15600.626413775715
2/10/2026,withdrawal,ATM Withdrawal,-99.670954789193,17834.91352966673
2/8/2026,deposit,Freelance Payment,600.8517082292464,19442.755074304692
2/5/2026,interest earned,Savings Interest,1.7616827509320307,15355.442275039899
2/1/2026,direct payment,Capital One Credit Card,-1199.1306387451634,14297.046283461372
1/28/2026,debit card,Groceries,-96.9425176841998,17847.298943511854
1/25/2026,debit card,Restaurant,-45.344405340026896,12906.912072185489
1/20/2026,deposit,Salary,3498.467026891344,16049.55168065825
1/18/2026,debit card,Gas Station,-40.49817900703953,18181.256580037854
1/15/2026,withdrawal,ATM Withdrawal,-60.16356880416019,18922.86704545689
1/10/2026,deposit,Freelance Payment,800.0917640040296,17436.355616890392
1/5/2026,direct payment,Capital One Credit Card,-1299.9449685849695,23675.30482469189
12/28/2025,debit card,Groceries,-102.58243177529609,23949.51936357421
12/20/2025,deposit,Salary,3500.930301584718,22408.72572867151
12/18/2025,debit card,Coffee Shop,-13.359236163561697,24324.245223188664
12/15/2025,withdrawal,ATM Withdrawal,-80.21881068868242,30750.632675950852
12/10/2025,deposit,Freelance Payment,499.7413747091196,27238.140053324518
12/5/2025,direct payment,Capital One Credit Card,-1399.777525808478,25735.019281241563
12/1/2025,interest earned,Savings Interest,2.204982956638493,30824.67058273013
2/14/2026,deposit,Salary,3498.600000409768,17372.84180195636
2/12/2026,debit card,Coffee Shop,-12.292310402859943,19023.224812323762
2/10/2026,withdrawal,ATM Withdrawal,-100.5187545896322,12185.517115577848
2/8/2026,deposit,Freelance Payment,600.034062801209,15793.76160950471
2/5/2026,interest earned,Savings Interest,2.514296725274855,17565.92232244047
2/1/2026,direct payment,Capital One Credit Card,-1199.8930460991298,12616.36300045732
1/28/2026,debit card,Groceries,-96.13200580586631,16422.617319763485
1/25/2026,debit card,Restaurant,-44.48033092386177,16017.493755489906
1/20/2026,deposit,Salary,3499.49597650199,15546.924508635104
1/18/2026,debit card,Gas Station,-39.03691819012692,20182.502836084834
1/15/2026,withdrawal,ATM Withdrawal,-59.82985088503023,16993.658919053058
1/10/2026,deposit,Freelance Payment,799.7083440503299,17776.25576904834
1/5/2026,direct payment,Capital One Credit Card,-1298.8533110112137,26241.119042344897
12/28/2025,debit card,Groceries,-99.6516773578917,25944.34974520836
12/20/2025,deposit,Salary,3499.6765451859355,24719.729359462326
12/18/2025,debit card,Coffee Shop,-12.988956998749764,24382.30504061316
12/15/2025,withdrawal,ATM Withdrawal,-80.60879034876736,27070.418148161807
12/10/2025,deposit,Freelance Payment,500.3365251869529,25132.406656606352
12/5/2025,direct payment,Capital One Credit Card,-1401.087098266346,28662.396466236496
12/1/2025,interest earned,Savings Interest,3.9039075535987218,25655.35671091415
2/14/2026,deposit,Salary,3501.186255241306,15569.938100527765
2/12/2026,debit card,Coffee Shop,-13.112168886538043,13707.520418256474
2/10/2026,withdrawal,ATM Withdrawal,-99.69480667508138,14106.049583317696
2/8/2026,deposit,Freelance Payment,599.8013205900739,13168.090248931974
2/5/2026,interest earned,Savings Interest,0.5248303279587534,18843.71548778229
2/1/2026,direct payment,Capital One Credit Card,-1199.2797995138874,17555.34367901653
1/28/2026,debit card,Groceries,-95.86422018753454,13982.949610487762
1/25/2026,debit card,Restaurant,-44.451087416478416,12892.027976653084
1/20/2026,deposit,Salary,3499.878755665448,22163.432786018362
1/18/2026,debit card,Gas Station,-40.95808878719087,22267.428173957716
1/15/2026,withdrawal,ATM Withdrawal,-59.08742596333239,22875.993032497063
1/10/2026,deposit,Freelance Payment,800.1772302580191,25461.911004987414
1/5/2026,direct payment,Capital One Credit Card,-1300.6927683991034,21292.055752967226
12/28/2025,debit card,Groceries,-101.23017146839383,18767.37321046915
12/20/2025,deposit,Salary,3500.8875418355265,24200.963767619374
12/18/2025,debit card,Coffee Shop,-15.866174833855103,29838.12713862407
12/15/2025,withdrawal,ATM Withdrawal,-80.12624268464606,25264.702076718975
12/10/2025,deposit,Freelance Payment,499.8788237411667,26379.335663252186
12/5/2025,direct payment,Capital One Credit Card,-1401.520259860761,25731.733440976637
12/1/2025,interest earned,Savings Interest,0.5224644300369272,24730.51907471376
2/14/2026,deposit,Salary,3500.493939384148,18526.63219336775
2/12/2026,debit card,Coffee Shop,-13.048544659223849,16971.735390665246
2/10/2026,withdrawal,ATM Withdrawal,-100.32462160005328,16338.527425034134
2/8/2026,deposit,Freelance Payment,599.4817369954968,13720.265948331062
2/5/2026,interest earned,Savings Interest,1.2062513811059443,14336.57620474774
2/1/2026,direct payment,Capital One Credit Card,-1200.515614096062,19143.60718299356
1/28/2026,debit card,Groceries,-93.58852736132702,21327.628065997604
1/25/2026,debit card,Restaurant,-46.08546720884068,15595.910088017798
1/20/2026,deposit,Salary,3500.717266169075,15200.0206207601
1/18/2026,debit card,Gas Station,-41.97644323210138,19549.530940698285
1/15/2026,withdrawal,ATM Withdrawal,-59.62495325758356,22580.593485896217
1/10/2026,deposit,Freelance Payment,800.6792682816938,20370.603048097386
1/5/2026,direct payment,Capital One Credit Card,-1300.266094556422,20794.203836064302
12/28/2025,debit card,Groceries,-98.2386385645531,24483.333649300414
12/20/2025,deposit,Salary,3500.162200434816,25881.963859538402
12/18/2025,debit card,Coffee Shop,-13.34919047363192,25986.253481483298
12/15/2025,withdrawal,ATM Withdrawal,-79.9577999269327,30929.349890049452
12/10/2025,deposit,Freelance Payment,499.9643733673489,29642.76639476839
12/5/2025,direct payment,Capital One Credit Card,-1402.964792384325,24585.472374053308
12/1/2025,interest earned,Savings Interest,2.957818526819268,31572.662162144996
2/14/2026,deposit,Salary,3499.123134495541,14553.219712484326
2/12/2026,debit card,Coffee Shop,-12.41248522082228,20607.134351120898
2/10/2026,withdrawal,ATM Withdrawal,-98.42613725130975,19367.47188483829
2/8/2026,deposit,Freelance Payment,600.8083385193821,19608.847917798033
2/5/2026,interest earned,Savings Interest,1.946650228394187,16704.648015948816
2/1/2026,direct payment,Capital One Credit Card,-1200.5232037012508,14148.87120656566
1/28/2026,debit card,Groceries,-94.76346677423756,13285.945825993425
1/25/2026,debit card,Restaurant,-44.238378643781495,19171.680218222602
1/20/2026,deposit,Salary,3500.450843749245,14136.327120499896
1/18/2026,debit card,Gas Station,-38.53305345537259,18128.442986040835
1/15/2026,withdrawal,ATM Withdrawal,-60.336627668680485,25153.604309239425
1/10/2026,deposit,Freelance Payment,799.3699774060327,21509.240268507576
1/5/2026,direct payment,Capital One Credit Card,-1300.4357611412788,21363.715467011876
12/28/2025,debit card,Groceries,-100.35468316014064,27073.42305566914
12/20/2025,deposit,Salary,3499.9986456119814,21283.895109838984
12/18/2025,debit card,Coffee Shop,-17.129631431350496,23728.48802111471
12/15/2025,withdrawal,ATM Withdrawal,-81.19438277077057,24921.311346828006
12/10/2025,deposit,Freelance Payment,500.6509014659204,23274.063433063377
12/5/2025,direct payment,Capital One Credit Card,-1399.8693584939488,25439.39436017383
12/1/2025,interest earned,Savings Interest,2.657251514775336,31424.450203664506
2/14/2026,deposit,Salary,3499.0969740783403,23122.465808652156
2/12/2026,debit card,Coffee Shop,-12.847763449825202,20037.134103692984
2/10/2026,withdrawal,ATM Withdrawal,-100.72798099105977,18364.662438166968
2/8/2026,deposit,Freelance Payment,600.9150577929382,15600.404093200726
2/5/2026,interest earned,Savings Interest,0.7961924371539428,20119.886580758608
2/1/2026,direct payment,Capital One Credit Card,-1200.2967934615745,21118.162308613697
1/28/2026,debit card,Groceries,-94.19006434542406,13347.746046331267
1/25/2026,debit card,Restaurant,-44.97002795002269,17123.35999803084
1/20/2026,deposit,Salary,3500.439689986168,14589.393279021679
1/18/2026,debit card,Gas Station,-39.30188577182563,25592.10682669519
1/15/2026,withdrawal,ATM Withdrawal,-60.65190577246,21075.680424100225
1/10/2026,deposit,Freelance Payment,799.6164946796722,23826.25132715938
1/5/2026,direct payment,Capital One Credit Card,-1299.977895563614,20789.913126133157
12/28/2025,debit card,Groceries,-99.05374939991216,26688.156408698225
12/20/2025,deposit,Salary,3499.426336649622,18973.531164131295
12/18/2025,debit card,Coffee Shop,-16.105568923482245,22075.708931376375
12/15/2025,withdrawal,ATM Withdrawal,-78.72847321514479,23650.87040520413
12/10/2025,deposit,Freelance Payment,498.9732377218442,24052.753739462074
12/5/2025,direct payment,Capital One Credit Card,-1400.6397128780395,32273.264082091773
12/1/2025,interest earned,Savings Interest,2.185413912292067,29961.07258805528
2/14/2026,deposit,Salary,3499.313285077301,23419.447063124626
2/12/2026,debit card,Coffee Shop,-11.638745832497833,15951.896551662063
2/10/2026,withdrawal,ATM Withdrawal,-98.44026359859912,18068.259869422705
2/8/2026,deposit,Freelance Payment,599.8081136060812,15265.987985207095
2/5/2026,interest earned,Savings Interest,2.424971009004028,12425.12607189752
2/1/2026,direct payment,Capital One Credit Card,-1198.4855078417272,11634.071390286888
1/28/2026,debit card,Groceries,-95.1308824508198,18142.39794892668
1/25/2026,debit card,Restaurant,-45.62035858867933,16408.062844950706
1/20/2026,deposit,Salary,3501.8105728111354,14396.184736126552
1/18/2026,debit card,Gas Station,-41.23176948817736,20501.318458848258
