date,type,description,amount,current balance
2025-09-01,deposit,Extreme Volatility Simulation,4076.402601468806,90.09776810672786
2025-09-02,debit card,Extreme Volatility Simulation,-71880.01286237815,49.48637971242159
2025-09-03,debit card,Extreme Volatility Simulation,-79794.5880203082,77.82766570114582
2025-09-04,debit card,Extreme Volatility Simulation,-64502.449984142484,18.71530352211196
2025-09-05,debit card,Extreme Volatility Simulation,-47927.96183555043,96.77819669093743
2025-09-06,deposit,Extreme Volatility Simulation,3988.382895509337,87.50605042619878
2025-09-07,debit card,Extreme Volatility Simulation,-59778.65365195685,7.327706646385057
2025-09-08,debit card,Extreme Volatility Simulation,-55222.40884084684,87.11215633505157
2025-09-09,debit card,Extreme Volatility Simulation,-56214.23970694939,55.46629005483352
2025-09-10,debit card,Extreme Volatility Simulation,-56588.147654261054,66.30865649466529
2025-09-11,deposit,Extreme Volatility Simulation,3180.214378781461,82.40534471018496
2025-09-12,debit card,Extreme Volatility Simulation,-80453.3571829315,23.65874402692264
2025-09-13,debit card,Extreme Volatility Simulation,-48446.83969175704,58.213729426009344
2025-09-14,debit card,Extreme Volatility Simulation,-50463.17352195029,88.71760074863673
2025-09-15,debit card,Extreme Volatility Simulation,-88441.89563073977,61.66191089888231
2025-09-16,deposit,Extreme Volatility Simulation,3344.924249832664,88.19889950267043
2025-09-17,debit card,Extreme Volatility Simulation,-91162.70362603324,97.53160433200075
2025-09-18,debit card,Extreme Volatility Simulation,-57037.61855598856,76.52735264930183
2025-09-19,debit card,Extreme Volatility Simulation,-53425.12170640931,43.900798137858885
2025-09-20,debit card,Extreme Volatility Simulation,-52424.1213586764,90.80756298370899
2025-09-21,deposit,Extreme Volatility Simulation,3524.8309005885194,25.78971092292457
2025-09-22,debit card,Extreme Volatility Simulation,-88612.64804584789,16.816497125284148
2025-09-23,debit card,Extreme Volatility Simulation,-49606.40049980301,30.399245180971224
2025-09-24,debit card,Extreme Volatility Simulation,-77459.55153042544,55.62055199093101
2025-09-25,debit card,Extreme Volatility Simulation,-56224.29680522336,98.29246554220278
2025-09-26,deposit,Extreme Volatility Simulation,4562.686242246464,63.348263197156825
2025-09-27,debit card,Extreme Volatility Simulation,-68378.76654952481,53.20310118721208
2025-09-28,debit card,Extreme Volatility Simulation,-52872.51945235279,80.32227274751385
2025-09-29,debit card,Extreme Volatility Simulation,-95470.4451811761,30.11976682773396
2025-09-30,debit card,Extreme Volatility Simulation,-75430.2150293861,77.47832174021815
2025-10-01,debit card,Extreme Volatility Simulation,-79795.86889955819,11.388758718992465
2025-10-02,debit card,Extreme Volatility Simulation,-59800.554127910946,90.21498246415847
2025-10-03,debit card,Extreme Volatility Simulation,-63193.233760040195,48.65861540806894
2025-10-04,debit card,Extreme Volatility Simulation,-67887.2722687962,40.88059540018335
2025-10-05,debit card,Extreme Volatility Simulation,-51521.27411440733,48.34228240870082
2025-10-06,debit card,Extreme Volatility Simulation,-90986.83304800873,18.153980640130296
2025-10-07,debit card,Extreme Volatility Simulation,-82244.10864431954,70.90157884661754
2025-10-08,debit card,Extreme Volatility Simulation,-52305.54577031556,5.588485257428266
2025-10-09,debit card,Extreme Volatility Simulation,-53203.43917115376,6.484160424180352
2025-10-10,debit card,Extreme Volatility Simulation,-72226.6015863656,41.547626148319104
2025-10-11,debit card,Extreme Volatility Simulation,-68167.27170893438,83.51444821351703
2025-10-12,debit card,Extreme Volatility Simulation,-68890.87986412886,3.327981722194262
2025-10-13,debit card,Extreme Volatility Simulation,-73448.64224508285,4.717858061348778
2025-10-14,debit card,Extreme Volatility Simulation,-75820.59236788396,44.866831049323416
2025-10-15,debit card,Extreme Volatility Simulation,-63285.7477941352,13.634172530552924
2025-10-16,debit card,Extreme Volatility Simulation,-84842.74809014708,36.477102862383134
2025-10-17,debit card,Extreme Volatility Simulation,-53812.508417247045,18.80862172654789
2025-10-18,debit card,Extreme Volatility Simulation,-58428.01653877259,43.75681715696137
2025-10-19,debit card,Extreme Volatility Simulation,-68265.12544360325,26.291324519304936
2025-10-20,debit card,Extreme Volatility Simulation,-64349.66390845497,90.15843856889545
2025-10-21,debit card,Extreme Volatility Simulation,-94952.55470717419,43.37963308262557
2025-10-22,debit card,Extreme Volatility Simulation,-84766.13412009014,55.87348316137422
