date,type,description,amount,current balance
2025-12-01,interest earned,Savings Interest,13383.363115259464,138.04867746690306
2025-12-01,interest earned,Savings Interest,210.34253350871194,6.383570620971857
2025-12-01,interest earned,Savings Interest,11161.76316398261,51.808322479128776
2025-12-01,interest earned,Savings Interest,781.8386045321319,9.618159009992649
2025-12-01,interest earned,Savings Interest,13862.457381757773,147.66564233525594
2025-12-01,interest earned,Savings Interest,417.4650082485213,26.00460117426731
2025-12-01,interest earned,Savings Interest,11239.342594000163,139.07337592160482
2025-12-01,interest earned,Savings Interest,310.1352905261067,124.48361655838981
2025-12-01,interest earned,Savings Interest,12225.015245163897,70.56391581933293
2025-12-01,interest earned,Savings Interest,551.1143619500087,45.15285010310646
2025-12-05,direct payment,Capital One Credit Card,-1400.6397128780395,60.11645842582002
2025-12-05,direct payment,Capital One Credit Card,-1401.087098266346,72.03622015142535
2025-12-05,direct payment,Capital One Credit Card,-1401.186631716265,13.281056650895302
2025-12-05,direct payment,Capital One Credit Card,-1400.7199284961534,107.41662283957548
2025-12-05,direct payment,Capital One Credit Card,-1401.520259860761,39.02065669101268
2025-12-05,direct payment,Capital One Credit Card,-1399.8872336988509,38.31487560464448
2025-12-05,direct payment,Capital One Credit Card,-1399.777525808478,66.06265073439755
2025-12-05,direct payment,Capital One Credit Card,-1399.8693584939488,20.863209043582547
2025-12-05,direct payment,Capital One Credit Card,-1402.964792384325,143.35455674488088
2025-12-05,direct payment,Capital One Credit Card,-1399.8047802158897,28.870633192125016
2025-12-10,deposit,Freelance Payment,14961.028641507146,132.81172603447462
2025-12-10,deposit,Freelance Payment,394.9227057627267,52.34254062366222
2025-12-10,deposit,Freelance Payment,9074.729151826072,85.84284614875374
2025-12-10,deposit,Freelance Payment,553.9333942472836,148.3839255607874
2025-12-10,deposit,Freelance Payment,14745.265989568215,72.33457047248658
2025-12-10,deposit,Freelance Payment,824.6542137583758,34.477578776624675
2025-12-10,deposit,Freelance Payment,9005.649452515367,65.12307907634013
2025-12-10,deposit,Freelance Payment,582.5557560136381,112.78076200787005
2025-12-10,deposit,Freelance Payment,10932.53365078623,48.12387516515479
2025-12-10,deposit,Freelance Payment,551.1013327680595,63.49516830785159
2025-12-15,withdrawal,ATM Withdrawal,-80.60879034876736,63.627316023468126
2025-12-15,withdrawal,ATM Withdrawal,-78.72847321514479,96.30117380447746
2025-12-15,withdrawal,ATM Withdrawal,-79.80957882336368,118.50113074581074
2025-12-15,withdrawal,ATM Withdrawal,-80.12624268464606,32.49865204655454
2025-12-15,withdrawal,ATM Withdrawal,-80.21881068868242,71.46526224059826
2025-12-15,withdrawal,ATM Withdrawal,-79.49878418899473,55.82398686370672
2025-12-15,withdrawal,ATM Withdrawal,-81.19438277077057,149.2148640166005
2025-12-15,withdrawal,ATM Withdrawal,-78.9003167126496,71.53917570314076
2025-12-15,withdrawal,ATM Withdrawal,-79.9577999269327,25.46025837159085
2025-12-15,withdrawal,ATM Withdrawal,-80.78733644249151,45.94912498877859
2025-12-18,debit card,Coffee Shop,-13.26058895954981,79.67469008054634
2025-12-18,debit card,Coffee Shop,-17.129631431350496,42.52919727035337
2025-12-18,debit card,Coffee Shop,-13.34919047363192,43.15321813661021
2025-12-18,debit card,Coffee Shop,-16.105568923482245,90.13940685989935
2025-12-18,debit card,Coffee Shop,-13.359236163561697,90.94035636873761
2025-12-18,debit card,Coffee Shop,-14.543963700204934,87.60204025244069
2025-12-18,debit card,Coffee Shop,-15.866174833855103,39.32334105579059
2025-12-18,debit card,Coffee Shop,-12.988956998749764,26.94924572642338
2025-12-18,debit card,Coffee Shop,-14.472906640222362,60.11614871580502
2025-12-18,debit card,Coffee Shop,-14.99265372395735,39.95441231595782
2025-12-20,deposit,Salary,12652.891657548616,7.884068448164228
2025-12-20,deposit,Salary,862.8369833539662,15.807178623907802
2025-12-20,deposit,Salary,8352.60369141687,26.285924914344882
2025-12-20,deposit,Salary,294.7417285619889,105.92159233938023
2025-12-20,deposit,Salary,12240.552418749692,142.3879141126609
2025-12-20,deposit,Salary,585.0582233935563,126.32358736972888
2025-12-20,deposit,Salary,10257.017720304055,144.493248183193
2025-12-20,deposit,Salary,814.3682947652168,16.444732710588266
2025-12-20,deposit,Salary,13869.403089064977,93.22501959326164
2025-12-20,deposit,Salary,998.2098680071053,2.0451359323023555
2025-12-28,debit card,Groceries,-99.50569217306357,134.26152056658407
2025-12-28,debit card,Groceries,-100.67227838595193,125.25654201298543
2025-12-28,debit card,Groceries,-100.70326890618416,11.001362390249586
2025-12-28,debit card,Groceries,-101.17217413019944,139.80818482314734
2025-12-28,debit card,Groceries,-98.2386385645531,38.053206241802926
2025-12-28,debit card,Groceries,-99.6516773578917,105.65828680182558
2025-12-28,debit card,Groceries,-99.05374939991216,53.88896018382355
2025-12-28,debit card,Groceries,-100.35468316014064,145.34515978959914
2025-12-28,debit card,Groceries,-101.23017146839383,37.82046092054658
2025-12-28,debit card,Groceries,-102.58243177529609,40.32999287202876
2026-01-05,direct payment,Capital One Credit Card,-1300.6927683991034,25.84565366170525
2026-01-05,direct payment,Capital One Credit Card,-1300.48945803067,28.89565165289909
2026-01-05,direct payment,Capital One Credit Card,-1300.4357611412788,112.70374327825502
2026-01-05,direct payment,Capital One Credit Card,-1300.266094556422,100.40063455357577
2026-01-05,direct payment,Capital One Credit Card,-1299.63126047419,64.04024899475527
2026-01-05,direct payment,Capital One Credit Card,-1298.8533110112137,91.65238328874253
2026-01-05,direct payment,Capital One Credit Card,-1299.9449685849695,8.765785365843676
2026-01-05,direct payment,Capital One Credit Card,-1298.94814286905,139.5554798757431
2026-01-05,direct payment,Capital One Credit Card,-1299.977895563614,44.22973143159857
2026-01-05,direct payment,Capital One Credit Card,-1299.5059049243075,53.891998785572085
2026-01-10,deposit,Freelance Payment,14122.578792002305,101.25319462409982
2026-01-10,deposit,Freelance Payment,442.11806336760935,89.41777566506566
2026-01-10,deposit,Freelance Payment,9792.947936414908,93.11661418694288
2026-01-10,deposit,Freelance Payment,956.8407192714589,96.65011144941758
2026-01-10,deposit,Freelance Payment,10012.193859571316,118.21474477007105
2026-01-10,deposit,Freelance Payment,725.1682242448944,143.66736583226097
2026-01-10,deposit,Freelance Payment,9726.448540219937,54.34401233102182
2026-01-10,deposit,Freelance Payment,830.0077640836308,99.89175631431617
2026-01-10,deposit,Freelance Payment,8862.820198630932,128.22596003192766
2026-01-10,deposit,Freelance Payment,672.4572620823769,131.72032641055213
2026-01-15,withdrawal,ATM Withdrawal,-60.16356880416019,59.13753687013611
2026-01-15,withdrawal,ATM Withdrawal,-60.65190577246,104.81141339990039
2026-01-15,withdrawal,ATM Withdrawal,-60.74544876334925,27.048078768973
2026-01-15,withdrawal,ATM Withdrawal,-59.08742596333239,136.3418242765187
2026-01-15,withdrawal,ATM Withdrawal,-60.0352651171561,116.61634309861519
2026-01-15,withdrawal,ATM Withdrawal,-60.27017327552604,117.16571478617853
2026-01-15,withdrawal,ATM Withdrawal,-59.82985088503023,17.149828574374983
2026-01-15,withdrawal,ATM Withdrawal,-59.62495325758356,145.92867410663305
2026-01-15,withdrawal,ATM Withdrawal,-60.336627668680485,13.919882853674077
2026-01-15,withdrawal,ATM Withdrawal,-59.86705771556196,26.62615623118736
2026-01-18,debit card,Gas Station,-41.97644323210138,131.55843207509392
2026-01-18,debit card,Gas Station,-39.697284459765854,110.84892531771851
2026-01-18,debit card,Gas Station,-38.53305345537259,120.0189692080745
2026-01-18,debit card,Gas Station,-41.13433033262803,4.866550641633194
2026-01-18,debit card,Gas Station,-40.49817900703953,55.44433234055103
2026-01-18,debit card,Gas Station,-40.95808878719087,75.40380274505587
2026-01-18,debit card,Gas Station,-41.23176948817736,126.67624950367528
2026-01-18,debit card,Gas Station,-39.30188577182563,133.05383520714327
2026-01-18,debit card,Gas Station,-39.31763399127053,142.12502985597112
