date,type,description,amount,current balance
2/14/2026,deposit,Salary,3499.406986838009,2953.1114261889084
2/12/2026,debit card,Coffee Shop,-11.710054894846005,4191.069740308707
2/10/2026,withdrawal,ATM Withdrawal,-99.670954789193,4781.654858187021
2/8/2026,deposit,Freelance Payment,600.8517082292464,3319.344309361126
2/5/2026,interest earned,Savings Interest,1.7616827509320307,3313.7285255953816
2/1/2026,direct payment,Capital One Credit Card,-1199.1306387451634,3213.8638243282417
1/28/2026,debit card,Groceries,-96.9425176841998,2125.3224417206766
1/25/2026,debit card,Restaurant,-45.344405340026896,2948.003851257905
1/20/2026,deposit,Salary,3498.467026891344,2549.0318208222893
1/18/2026,debit card,Gas Station,-40.49817900703953,2412.8068475314412
1/15/2026,withdrawal,ATM Withdrawal,-60.16356880416019,4570.859610323126
1/10/2026,deposit,Freelance Payment,800.0917640040296,3733.3033663793058
1/5/2026,direct payment,Capital One Credit Card,-1299.9449685849695,2077.747311339498
12/28/2025,debit card,Groceries,-102.58243177529609,2899.5543024970148
12/20/2025,deposit,Salary,3500.930301584718,4881.706905678593
12/18/2025,debit card,Coffee Shop,-13.359236163561697,4374.943952259622
12/15/2025,withdrawal,ATM Withdrawal,-80.21881068868242,3562.4180237334467
12/10/2025,deposit,Freelance Payment,499.7413747091196,3053.2257822962993
12/5/2025,direct payment,Capital One Credit Card,-1399.777525808478,2235.6011294633117
12/1/2025,interest earned,Savings Interest,2.204982956638493,2533.797619855836
2/14/2026,deposit,Salary,3498.600000409768,3119.5354421447214
2/12/2026,debit card,Coffee Shop,-12.292310402859943,3725.8573647874928
2/10/2026,withdrawal,ATM Withdrawal,-100.5187545896322,4963.172368769992
2/8/2026,deposit,Freelance Payment,600.034062801209,3806.6464787555333
2/5/2026,interest earned,Savings Interest,2.514296725274855,3613.043209658599
2/1/2026,direct payment,Capital One Credit Card,-1199.8930460991298,4900.5181899366635
1/28/2026,debit card,Groceries,-96.13200580586631,2969.580187843102
1/25/2026,debit card,Restaurant,-44.48033092386177,2446.2644580647666
1/20/2026,deposit,Salary,3499.49597650199,4504.144232564076
1/18/2026,debit card,Gas Station,-39.03691819012692,4732.525737044016
1/15/2026,withdrawal,ATM Withdrawal,-59.82985088503023,3440.6792305655044
1/10/2026,deposit,Freelance Payment,799.7083440503299,4854.812670347601
1/5/2026,direct payment,Capital One Credit Card,-1298.8533110112137,3237.356849000657
12/28/2025,debit card,Groceries,-99.6516773578917,2806.885537257573
12/20/2025,deposit,Salary,3499.6765451859355,2731.0487791482265
12/18/2025,debit card,Coffee Shop,-12.988956998749764,2902.39791163297
12/15/2025,withdrawal,ATM Withdrawal,-80.60879034876736,4058.1557479609605
12/10/2025,deposit,Freelance Payment,500.3365251869529,3959.333694078464
12/5/2025,direct payment,Capital One Credit Card,-1401.087098266346,4648.928282970087
12/1/2025,interest earned,Savings Interest,3.9039075535987218,2212.6636899337554
2/14/2026,deposit,Salary,3501.186255241306,4997.337738561504
2/12/2026,debit card,Coffee Shop,-13.112168886538043,4900.237635635771
2/10/2026,withdrawal,ATM Withdrawal,-99.69480667508138,3035.231859117298
2/8/2026,deposit,Freelance Payment,599.8013205900739,4483.7781990736
2/5/2026,interest earned,Savings Interest,0.5248303279587534,3235.786485683265
2/1/2026,direct payment,Capital One Credit Card,-1199.2797995138874,3435.312938014985
1/28/2026,debit card,Groceries,-95.86422018753454,2547.274353632898
1/25/2026,debit card,Restaurant,-44.451087416478416,2799.695578982823
1/20/2026,deposit,Salary,3499.878755665448,2461.7742101013973
1/18/2026,debit card,Gas Station,-40.95808878719087,2285.566906145741
1/15/2026,withdrawal,ATM Withdrawal,-59.08742596333239,3863.0938031853448
1/10/2026,deposit,Freelance Payment,800.1772302580191,4307.6156209476085
1/5/2026,direct payment,Capital One Credit Card,-1300.6927683991034,4962.200272951493
12/28/2025,debit card,Groceries,-101.23017146839383,2980.9358926491373
12/20/2025,deposit,Salary,3500.8875418355265,2410.8443588795694
12/18/2025,debit card,Coffee Shop,-15.866174833855103,4646.0437836342935
12/15/2025,withdrawal,ATM Withdrawal,-80.12624268464606,3984.4653092320896
12/10/2025,deposit,Freelance Payment,499.8788237411667,4124.4960077663345
12/5/2025,direct payment,Capital One Credit Card,-1401.520259860761,4571.034072407045
12/1/2025,interest earned,Savings Interest,0.5224644300369272,4820.712335856806
2/14/2026,deposit,Salary,3500.493939384148,3743.705362060162
2/12/2026,debit card,Coffee Shop,-13.048544659223849,3371.3056503024604
2/10/2026,withdrawal,ATM Withdrawal,-100.32462160005328,2308.0736774878433
2/8/2026,deposit,Freelance Payment,599.4817369954968,2588.546955842075
2/5/2026,interest earned,Savings Interest,1.2062513811059443,2263.1943636277674
2/1/2026,direct payment,Capital One Credit Card,-1200.515614096062,3184.6296115603154
1/28/2026,debit card,Groceries,-93.58852736132702,4920.8450632060685
1/25/2026,debit card,Restaurant,-46.08546720884068,4421.9454028687
1/20/2026,deposit,Salary,3500.717266169075,3899.5954785276995
1/18/2026,debit card,Gas Station,-41.97644323210138,3847.902900070296
1/15/2026,withdrawal,ATM Withdrawal,-59.62495325758356,2767.2255201000708
1/10/2026,deposit,Freelance Payment,800.6792682816938,2438.8552875872792
1/5/2026,direct payment,Capital One Credit Card,-1300.266094556422,3279.3469371048195
12/28/2025,debit card,Groceries,-98.2386385645531,2828.660501467929
12/20/2025,deposit,Salary,3500.162200434816,4313.736552678212
12/18/2025,debit card,Coffee Shop,-13.34919047363192,4429.130391077004
12/15/2025,withdrawal,ATM Withdrawal,-79.9577999269327,2999.855700250174
12/10/2025,deposit,Freelance Payment,499.9643733673489,2790.2865352722993
12/5/2025,direct payment,Capital One Credit Card,-1402.964792384325,4351.321174333152
